Frequency,APSD,sd
4505.6,3.13725e-08,4.48734e-11
4508.8,3.14062e-08,4.49199e-11
4512,3.13495e-08,4.48403e-11
4515.2,3.13605e-08,4.4855e-11
4518.4,3.13506e-08,4.48417e-11
4521.6,3.1396e-08,4.49071e-11
4524.8,3.14841e-08,4.50332e-11
4528,3.14302e-08,4.49567e-11
4531.2,3.13866e-08,4.48927e-11
4534.4,3.14356e-08,4.49642e-11
4537.6,3.14214e-08,4.49431e-11
4540.8,3.14206e-08,4.49422e-11
4544,3.13914e-08,4.49004e-11
4547.2,3.13368e-08,4.48213e-11
4550.4,3.13664e-08,4.48663e-11
4553.6,3.12985e-08,4.47663e-11
4556.8,3.13512e-08,4.4842e-11
4560,3.14038e-08,4.49167e-11
4563.2,3.14585e-08,4.49957e-11
4566.4,3.14461e-08,4.49781e-11
4569.6,3.13224e-08,4.48007e-11
4572.8,3.13811e-08,4.48839e-11
4576,3.14534e-08,4.49881e-11
4579.2,3.14113e-08,4.49275e-11
4582.4,3.14115e-08,4.49267e-11
4585.6,3.13983e-08,4.49087e-11
4588.8,3.1417e-08,4.49346e-11
4592,3.14272e-08,4.49488e-11
4595.2,3.13646e-08,4.48605e-11
4598.4,3.13351e-08,4.4819e-11
4601.6,3.12887e-08,4.47535e-11
4604.8,3.13565e-08,4.48511e-11
4608,3.13724e-08,4.48742e-11
4611.2,3.14148e-08,4.49339e-11
4614.4,3.13461e-08,4.48362e-11
4617.6,3.13251e-08,4.48029e-11
4620.8,3.14224e-08,4.49442e-11
4624,3.14132e-08,4.4935e-11
4627.2,3.13325e-08,4.4816e-11
4630.4,3.13498e-08,4.48407e-11
4633.6,3.13817e-08,4.48863e-11
4636.8,3.12933e-08,4.476e-11
4640,3.13291e-08,4.48107e-11
4643.2,3.14074e-08,4.49242e-11
4646.4,3.13822e-08,4.48882e-11
4649.6,3.13131e-08,4.47879e-11
4652.8,3.14044e-08,4.49195e-11
4656,3.13627e-08,4.48607e-11
4659.2,3.14352e-08,4.49624e-11
4662.4,3.14545e-08,4.49903e-11
4665.6,3.14112e-08,4.49282e-11
4668.8,3.13635e-08,4.48613e-11
4672,3.14013e-08,4.49168e-11
4675.2,3.14512e-08,4.49872e-11
4678.4,3.1376e-08,4.48779e-11
4681.6,3.13807e-08,4.48842e-11
4684.8,3.13684e-08,4.48656e-11
4688,3.13645e-08,4.48609e-11
4691.2,3.13644e-08,4.48608e-11
4694.4,3.13846e-08,4.48913e-11
4697.6,3.13928e-08,4.49034e-11
4700.8,3.14299e-08,4.49561e-11
4704,3.14154e-08,4.49365e-11
4707.2,3.14193e-08,4.49411e-11
4710.4,3.1314e-08,4.47885e-11
4713.6,3.1306e-08,4.47796e-11
4716.8,3.13889e-08,4.48968e-11
4720,3.1388e-08,4.48947e-11
4723.2,3.13987e-08,4.49115e-11
4726.4,3.13771e-08,4.48827e-11
4729.6,3.135e-08,4.48419e-11
4732.8,3.1393e-08,4.49031e-11
4736,3.13382e-08,4.48257e-11
4739.2,3.13741e-08,4.48749e-11
4742.4,3.14431e-08,4.49737e-11
4745.6,3.14542e-08,4.49901e-11
4748.8,3.14038e-08,4.49177e-11
4752,3.13662e-08,4.48642e-11
4755.2,3.13663e-08,4.4863e-11
4758.4,3.14285e-08,4.49543e-11
4761.6,3.13952e-08,4.49051e-11
4764.8,3.14321e-08,4.49586e-11
4768,3.13802e-08,4.48837e-11
4771.2,3.13559e-08,4.48488e-11
4774.4,3.12956e-08,4.47611e-11
4777.6,3.13822e-08,4.48876e-11
4780.8,3.13863e-08,4.48939e-11
